source,target,weight
1212198513213239297,70740986,6
1212245858814554112,1218767468954411011,1
1212864581351002113,89282580,1
1212969538972610560,1087230353822179328,1
1212969538972610560,70740986,1
1212969538972610560,89282580,1
1214001673154134017,70740986,1
1214586071494909952,347787490,1
1215061129975586816,1218767468954411011,1
1215778779903201281,89282580,1
1216805182287351809,1348087687148953601,1
1216893590313586688,73463687,1
1216893590313586688,967299284235440128,3
1217204275878748160,1151340112955019265,1
1217263375295635456,1362551053632290819,1
1217317166451740672,1144263230430355456,1
1217570105237831680,1286780777422888963,1
1217601242777735168,15792387,1
1217601242777735168,28713250,1
1217601242777735168,89282580,1
1217601242777735168,967299284235440128,2
1217646595547766785,2537997308,1
1218271621733064711,33549858,1
1218271621733064711,400539441,1
1218271621733064711,70740986,4
1218427169229197314,400539441,1
1218427169229197314,450132877,1
1218478022908612609,10228272,1
1218618185827651584,1097928862971904000,1
1218618185827651584,1151340112955019265,7
1218618185827651584,556352307,1
1218834782706118661,1331018240470917120,1
1218834782706118661,136361303,1
1219476813195415552,1218767468954411011,1
1219476813195415552,221651256,1
1222961047725903877,70740986,1
1222961047725903877,967299284235440128,1
1223295334522277888,2825385169,1
1223295334522277888,48264688,1
1223681738,1304051396942139397,1
1224160929480347651,1331018240470917120,1
1224160929480347651,15792387,1
1224160929480347651,24929621,1
1224160929480347651,400539441,1
1224160929480347651,70740986,1
1224225099047260160,1144263230430355456,1
122556977,1218767468954411011,1
1226016756835274753,23680536,1
1226016756835274753,70740986,1
1226689275946729472,25160076,1
1227654965256245248,70740986,1
1229086292840857600,400539441,1
1229086292840857600,70740986,1
1229152419382165504,1177644192610361345,1
1229152419382165504,1218767468954411011,7
1229152419382165504,1230586851322482688,1
1229152419382165504,1250554778809237505,2
1229152419382165504,1254901513954222081,1
1229152419382165504,1331018240470917120,4
1229152419382165504,15792387,4
1229152419382165504,221651256,3
1229152419382165504,2869129385,1
1229152419382165504,70740986,5
1229201547420209153,1105838381622329344,1
1229201547420209153,19608297,1
1229201547420209153,70740986,2
1229273041600827392,70740986,3
1229652712737792000,1304051396942139397,1
1229984659343323137,1218767468954411011,1
1230927344174583808,1105838381622329344,3
1230927344174583808,1241600060988760067,1
1230927344174583808,1304051396942139397,1
1231506514646650885,1229585612602212353,1
1231506514646650885,89282580,2
1231800614541254656,497591536,1
1231800614541254656,89282580,1
1233100741373497346,73463687,1
1233106568885022721,1230927344174583808,1
1233106568885022721,1304051396942139397,2
1233852652171276291,1087230353822179328,1
1233852652171276291,1218767468954411011,2
1233852652171276291,1330734777616502785,1
1233852652171276291,70740986,1
1233970105865904129,497591536,1
1233970105865904129,89282580,3
1234199769410654212,967299284235440128,1
1234325952492167168,23680536,1
1234325952492167168,70740986,1
